a,b,c,d,e,f,g,h,i,j,k,l,m
0.65,0.028784363,0.028821244,0.026416388,0.027355808,0.002512167,0.002572233,-0.063199534,-0.061979125,0.028980853,0.029038212,0.082124089,0.079121424
0.66,0.029078419,0.029124999,0.027027803,0.028344792,0.001467565,0.001612904,-0.060445098,-0.059191559,0.018714601,0.019312651,0.084877795,0.082369944
0.67,0.028757584,0.029046206,0.026739884,0.028398179,0.000405925,0.000449855,-0.056693267,-0.057448896,0.006379959,0.005423529,0.085532168,0.084092222
0.68,0.027965753,0.028530063,0.025587521,0.027243842,-0.00088175,-0.000704611,-0.050917591,-0.049737995,-0.005074576,-0.005511,0.084410104,0.08371122
0.69,0.026339819,0.026773796,0.0240654,0.026047748,-0.00194575,-0.001932333,-0.04404899,-0.042607396,-0.015861562,-0.016446774,0.081137465,0.08116398
0.7,0.023761852,0.02327671,0.022466589,0.025789484,-0.002943103,-0.003029206,-0.0364295,-0.035552629,-0.026810254,-0.026383006,0.07562456,0.074743286
0.71,0.021287954,0.023184871,0.019970761,0.02170317,-0.003842566,-0.004010079,-0.02779622,-0.026428955,-0.037732123,-0.035140698,0.068396629,0.067649895
0.72,0.017708127,0.016668219,0.016562081,0.01704162,-0.004584143,-0.005192225,-0.018951968,-0.020322273,-0.047649516,-0.045910132,0.059680737,0.061048013
0.73,0.013817465,0.014319462,0.013124476,0.014266542,-0.005420219,-0.004894865,-0.010333366,-0.011622346,-0.057017678,-0.051581566,0.049835614,0.051473514
0.74,0.009256079,0.008392381,0.009105969,0.009690093,-0.006156303,-0.005754845,-0.001424913,-0.001725338,-0.064322942,-0.059818694,0.038715733,0.039201742
0.75,0.004433253,0.004143419,0.004859195,0.005099267,-0.006741755,-0.006274421,0.008821083,0.00751558,-0.069614447,-0.067556288,0.026970877,0.02798659
0.76,-8.83E-06,0.000296144,0.000821763,0.001502532,-0.007204768,-0.006875623,0.01881362,0.016962148,-0.073657416,-0.071431286,0.014493069,0.01446654
0.77,-0.004293025,-0.004146066,-0.003057269,-0.002846681,-0.007412436,-0.00727804,0.027186061,0.026818773,-0.076058529,-0.073811114,0.000736898,0.000454079
0.78,-0.008313678,-0.008662348,-0.006703357,-0.007382018,-0.007423079,-0.007412107,0.035055362,0.03467919,-0.076692475,-0.074747612,-0.011288196,-0.012526053
0.79,-0.012382224,-0.011683975,-0.01053308,-0.010104996,-7.36E-03,-0.007409489,0.042646142,0.041098339,-0.075614956,-0.074342019,-0.023667642,-0.023740262
0.8,-0.0156934,-0.016547442,-0.0138449,-0.014953615,-0.007070014,-0.007159465,0.048945771,0.04885842,-0.072749499,-0.071728732,-0.03623304,-0.033871759
0.81,-0.019337642,-0.01740592,-0.01723989,-0.016163055,-0.006555674,-0.00672602,0.05407982,0.054092204,-0.068283213,-0.068050458,-0.048045188,-0.045838918
